chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2
House,103,1993,0.7048583969465649,0.27539503386004516,0.30916030534351147,0.22777777777777777,0.024886877828054297,-0.047972912,-0.033553047,-0.333908397,0.069473282,0.37095,-0.181488889,0.3509767441860465,-0.263449612,0.4214705882352941,0.025823529411764707,-0.368192308,-0.074368132,-0.2559125,0.3967125
House,104,1995,0.757981503,0.19775280898876405,0.21153846153846154,0.1864406779661017,0.018018018018018018,0.040206742,-0.034516854,-0.361379808,0.061754808,0.39660169491525427,-0.117826271,0.3746503067484663,-0.189742331,0.4456164383561644,0.042753425,-0.395081081,-0.069777027,-0.27825,0.3862
House,105,1997,0.7771248672710938,0.1554054054054054,0.15566037735849056,0.15584415584415584,0.018058691,0.028376126,-0.022060811,-0.375570755,0.036301887,0.40155411255411255,-0.073995671,0.38171428571428573,-0.138512987,0.44123376623376626,0.055038961,-0.398325,-0.05674375,-0.305557692,0.32259615384615387
House,106,1999,0.776897903,0.15681818181818183,0.1596244131455399,0.15555555555555556,0.015981735,0.026236363636363638,-0.007375,-0.372835681,0.04457277,0.4040622222222222,-0.057253333,0.38410204081632654,-0.123238095,0.4416794871794872,0.067102564,-0.396679012,-0.042296296,-0.297098039,0.32050980392156864
House,107,2001,0.7864204377766848,0.1463963963963964,0.14953271028037382,0.14473684210526316,0.009049774,0.028858108,0.00525,-0.376775701,0.040070093,0.4096447368421053,-0.028013158,0.3899109589041096,-0.10319863,0.44478048780487806,0.10585365853658536,-0.399552147,-0.047042945,-0.303980392,0.3184901960784314
House,108,2003,0.792983558,0.1340909090909091,0.14423076923076922,0.12554112554112554,0,0.039763636,0.016881818181818182,-0.376182692,0.048072115,0.4168008658008658,-0.009406926,0.3986689189189189,-0.084783784,0.44913253012048193,0.125,-0.404402597,-0.04962987,-0.295703704,0.3267037037037037
House,109,2005,0.8099627921601509,0.1252847380410023,0.12807881773399016,0.12340425531914893,0,0.046100228,0.013284738041002279,-0.387133005,0.031433498,0.4228297872340426,-6.43E-04,0.39925675675675676,-0.075986486,0.46293103448275863,0.12752873563218392,-0.405573248,-0.045146497,-0.324195652,0.29280434782608694
House,110,2007,0.8079947860481841,0.13808463251670378,0.1728395061728395,0.097087379,0,0.002298441,0.03776392,-0.368407407,0.044473251,0.4395873786407767,0.029849514563106794,0.41735245901639345,-0.044672131,0.4718809523809524,0.13808333333333334,-0.386613757,-0.028089947,-0.304685185,0.29844444444444446
House,111,2009,0.8054285596453243,0.16741071428571427,0.2339622641509434,0.071038251,0,-0.01990625,0.036147321,-0.348909434,0.038460377,0.45651912568306013,0.032797814207650273,0.4381238095238095,-0.035133333,0.48128205128205126,0.12424358974358975,-0.364193237,-0.024019324,-0.294362069,0.261448276
House,112,2011,0.8610696938775511,0.08988764,0.12,0.065306122,0,0.080937079,0.005948315,-0.393135,-0.032225,0.46793469387755104,0.037110204,0.4440805369127517,-0.010751678,0.5049583333333333,0.11139583333333333,-0.400549383,-0.088604938,-0.361526316,0.20813157894736842
House,113,2013,0.8670397058823529,0.092342342,0.12745098039215685,0.0625,0,0.084238739,-0.005824324,-0.384431373,-0.069769608,0.48260833333333336,0.048529166666666665,0.4514776119402985,0.019828358208955225,0.5219622641509434,0.084811321,-0.38579878,-0.114329268,-0.378825,0.112925
